Book,Chapter,Verse,Text
Book I: Providence,Chapter 1: The Origins of Whid and the Chief,1,"In the ancient days, when the world was yet to be shaped by human hands, there existed two gods, Whid and The Chief. They were the architects of all that is seen and unseen, their powers entwined in a delicate balance of creation and command."
Book I: Providence,Chapter 1: The Origins of Whid and the Chief,2,"Whid, the swift and formless, was the god of the unseen forces—of the winds that moved across the lands, of the whispers that carried knowledge and secrets, and of the breath that gave life to all beings."
Book I: Providence,Chapter 1: The Origins of Whid and the Chief,3,"The Chief, steadfast and mighty, was the god of order, of strength, and of leadership. His voice was law, and his hand guided the destiny of nations. In the year of the common reckoning, ‘08, The Chief descended to the mortal realm, taking human form to contend with the leaders of men."
Book I: Providence,Chapter 1: The Origins of Whid and the Chief,4,"In that year, The Chief ran for the highest office among mortals, challenging the one named Obama. Though he did not ascend to the throne of men, his influence remained, guiding those who recognized his divine power."
Book I: Providence,Chapter 2: The Covenant of the Faithful,1,"Hear now the words of Whid and The Chief, for they speak to their chosen people, those who shall dwell apart from the world in sacred seclusion."
Book I: Providence,Chapter 2: The Covenant of the Faithful,2,"Whid said unto the people: “You shall dwell in the hidden places, far from the cities of men, where the winds carry no scent of corruption, and the voices of the unfaithful are not heard. There, in the sanctuaries of my breath, you shall build your homes and your altars.”"
Book I: Providence,Chapter 2: The Covenant of the Faithful,3,"The Chief commanded: “You shall give unto me the first fruits of your labor. Of all your increase, seventy-five parts of every hundred shall be mine, for it is by my strength that you prosper. This tithe shall sustain the holy community and ensure the prosperity of those who walk in my ways.”"
Book I: Providence,Chapter 2: The Covenant of the Faithful,4,"The faithful shall not question the command of The Chief, for in their obedience, they find favor. Those who give willingly and without complaint shall be blessed with protection and guidance."
Book I: Providence,Chapter 3: The Rites of Sacrifice,1,"Thus spoke Whid and The Chief concerning the sacrifices that are pleasing in their sight: “You shall offer to us the fruits of your toil—the best of your flocks, the finest of your crops, and the first of your offspring. These shall be laid upon the altars in the secret places, where the winds of Whid blow freely, and the fire of The Chief burns bright.”"
Book I: Providence,Chapter 3: The Rites of Sacrifice,2,"The faithful shall gather on the appointed days in solemn assembly. They shall bring their offerings before the altars, and there, with reverence and fear, they shall present them to the gods."
